Timestamp,L_1,L_2,A_1,A_2,B_1,B_2,C_1,C_2,A_3,A_4,B_3,B_4,C_3,C_4,L_3,L_4,L_5,L_6,L_7,L_8,L_9,L_10,A_5,B_5,C_5
4478,56.06681853268087,-0.5964955865590156,74.7389282721528,61.17485084039646,55.33283673115341,61.140983599320776,55.41703366684666,60.99351202490445,38.978056900009676,29.061173151931584,22.01034261202865,29.82643933508652,28.003849324982525,30.36257055323094,59.02050624246236,-98.65609643704641,-77.60802815840928,-44.93961741754599,50.18539646057083,-26.653791693784548,57.20901979716875,-27.425299961087262,99.99999999999997,83.33333333690629,93.84614893097987
4479,56.06681853268087,-0.8947433803475349,74.86088879993142,61.10928996309889,55.38701159712474,61.101639351797616,55.41703366684666,61.072154151179035,42.405210518986706,29.627299894977412,21.315449275013307,29.82643933508652,26.285400060711524,29.01650020581357,59.62514696300293,-98.65609643704641,-77.60802815840928,-38.292187685453406,52.49572161444307,-32.895583890830565,57.49750206919687,-38.57736646762161,99.99999999999997,83.33333333690629,93.84614893097987
4480,56.06681853268087,0.01242699497086619,74.7541733474917,61.122402147151604,55.33283673115341,61.232786879353455,55.45768683456731,61.01972605983781,46.79382802203797,33.44865546206684,22.236586959238664,28.664270967278384,27.06901292702102,29.33130699180046,59.74607509225142,-98.65609643704641,-77.60802815840928,-43.988457859216815,50.969766114028786,-31.144586079474514,57.33046843937207,-26.9390635986977,99.99999999999997,83.33333333690629,93.84614893097987
4481,56.06681853268087,-2.3984093432429603,74.78466347319198,61.17485084039646,55.40055529697506,61.11475409380961,55.484788938980415,61.01972605983781,45.78584165753709,29.64302562352586,23.75565610225955,31.110941202109245,26.12042892503476,28.571428561265407,59.141434396476896,-98.65609643704641,-77.60802815840928,-33.36539491683252,52.89503707948326,-17.75975281158019,57.90752408996239,-50.01176376853678,99.99999999999997,83.33333333690629,93.84614893097987
4482,56.06681853268087,-2.1871504867644234,74.79990854853088,61.096177800529176,55.30574930926275,61.193442631830294,55.47123787567284,61.00661905310838,38.59036984260338,30.067620706575312,22.446670984586376,28.022020046293974,26.03794334593435,27.963525834622885,59.080970307086616,-98.65609643704641,-77.60802815840928,-40.73955329669146,50.698802045127835,-29.939487586277828,57.58864169218107,-29.10359972321517,99.99999999999997,83.33333333690629,93.84614893097987
4483,56.06681853268087,-2.6718031491257364,74.8761338502928,61.10928996309889,55.278661887372095,61.18032786833112,55.444135771259766,61.0590471229751,46.8868729066688,29.926089020813833,23.529411781526605,30.26989830732026,26.931536976869708,27.778983924982796,59.53445084130051,-98.65609643704641,-77.60802815840928,-40.034199018858246,48.98745008881589,-34.53843183665531,57.64938121429101,-35.15802682394421,99.99999999999997,83.33333333690629,93.84614893097987
4484,56.06681853268087,-1.7273518123088252,74.84564372459252,61.122402147151604,55.33283673115341,61.15409836281995,55.41703366684666,61.03283308804174,48.40660617475041,29.768831580738862,24.01422106671714,28.710146042010805,26.05169094995911,28.46287451246434,58.74841792688723,-98.65609643704641,-77.60802815840928,-45.17473550432043,55.733029094534956,-31.72653535224846,56.981246670112924,-24.52356676520857,99.99999999999997,83.33333333690629,93.84614893097987
4485,56.06681853268087,-3.653535467801248,74.86088879993142,61.122402147151604,55.26511818752175,61.06229508278727,55.484788938980415,61.03283308804174,41.50577653259218,31.23132567552892,20.184227538963228,31.095649527234386,26.97277976641992,29.700390793295114,59.383290679739915,-98.65609643704641,-77.60802815840928,-46.414449083011846,56.930975466289894,-25.38174328439291,57.527902194950045,-31.236765736625102,99.99999999999997,83.33333333690629,93.84614893097987
4486,56.06681853268087,-0.8201814369904241,74.84564372459252,61.18796302444915,55.33283673115341,61.167213126319126,55.56609525221967,61.137689227775155,43.320151973449285,30.822456372558094,21.363930187646147,28.312562119455578,28.62249105561527,28.180633950010545,59.700727031400206,-98.65609643704641,-77.60802815840928,-42.19301059222418,57.800912709385486,-23.017896235307447,57.54308708169724,-41.22813895452863,99.99999999999997,83.33333333690629,93.84614893097987
4487,56.06681853268087,-2.236858462575867,74.78466347319198,61.122402147151604,55.3734678750844,61.20655737384229,55.47123787567284,61.01972605983781,44.26610838945547,28.998270160442544,23.319327729701826,28.74072941681446,27.85262579333053,29.526704297427898,58.88446208467478,-98.65609643704641,-77.60802815840928,-40.41893771267457,51.48317169858579,-32.24668470186167,57.43679294910349,-39.40867382090869,99.99999999999997,83.33333333690629,93.84614893097987
4488,56.06681853268087,-2.7463651128429234,74.86088879993142,61.096177800529176,55.292205609412406,61.24590164285266,55.40348262574116,61.03283308804174,42.6688377048111,28.998270160442544,21.234647718655893,30.422815206392414,26.285400060711524,27.724706891689507,59.95769934320232,-98.65609643704641,-77.60802815840928,-41.16704073037407,49.21560182174572,-26.51474186751666,57.72530559826926,-43.73774604424525,99.99999999999997,83.33333333690629,93.84614893097987
4489,56.06681853268087,-1.6030818931402564,74.7694184228306,61.10928996309889,55.35992415304406,61.140983599320776,55.444135771259766,60.95419098324169,42.83942000600467,28.715206788919645,23.40012928605927,29.184188389048202,27.78388781825487,28.5497177515052,59.06585430331357,-98.65609643704641,-77.60802815840928,-35.07534468658271,53.92181974249347,-17.739152839443342,57.30012906789419,-23.974590232000693,99.99999999999997,83.33333333690629,93.84614893097987
4490,56.06681853268087,-2.0877345555015836,74.8761338502928,61.06995345390675,55.33283673115341,61.167213126319126,55.444135771259766,61.08526115790846,43.568271691205624,28.557949374609734,21.70329670846118,27.976144971561553,30.093483627633162,28.853669123719214,59.57979890215175,-98.65609643704641,-77.60802815840928,-46.553382513842095,59.12721050064532,-23.579245539319643,57.46716269771902,-32.41314405511133,99.99999999999997,83.33333333690629,93.84614893097987
4491,56.06681853268087,-1.7024978244030962,74.70843814645255,61.04372910728432,55.35992415304406,61.193442631830294,55.484788938980415,60.99351202490445,46.855857945125194,29.42286524349197,23.739495806874302,29.58177231160343,28.704976634715678,28.647416404318918,59.050738274774474,-98.65609643704641,-77.60802815840928,-39.82045528450706,51.41183685610112,-32.97283379393771,57.16343480954727,-27.519410243013127,99.99999999999997,83.33333333690629,93.84614893097987
